"id_doorvaart";"regel";"van";"naar";"maat";"aantal";"soort";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"maat_alt";"aantal_alt";"hulp"
"977920";"2";"Rostock";"Tronhiem";"Læster";"1/2";"Hveed";"";"";"";"";"";"";"";"";""
"977920";"3";"Rostock";"Tronhiem";"Læster";"1 1/2";"Byg";"Daler";"23 1/2";"Skilling";"6";"";"";"Læster";"63";"Byg giør 63 Læster"
"977926";"1";"London";"Riga";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977927";"1";"Leverpool";"Gribswalde";"Læster";"22 1/2";"Salt";"Daler";"11";"Skilling";"12";"";"";"";"";""
"977927";"2";"Leverpool";"Gribswalde";"Lispund";"36335";"Toback";"Daler";"68";"Skilling";"7";"";"";"";"";""
"977927";"3";"Leverpool";"Gribswalde";"Øxehoved";"1 11/12";"Rum";"Daler";"1/2";"Skilling";"22";"";"";"";"";""
"977927";"4";"Leverpool";"Gribswalde";"Rd.";"75";"Steentøy";"Daler";"1/2";"Skilling";"12";"";"";"";"";""
"977933";"1";"London";"St. Petersborg";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977940";"1";"London";"St. Petersborg";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977952";"1";"London";"St. Petersborg";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977960";"1";"Arbroath";"Dantzig";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977962";"1";"Memel";"London";"-";"604";"Bielker";"Daler";"18 1/2";"Skilling";"18";"";"";"";"";""
"977962";"2";"Memel";"London";"-";"170";"Dehler";"Daler";"2";"Skilling";"6";"";"";"";"";""
"977962";"3";"Memel";"London";"Favne";"12";"Lægter";"Daler";"1/2";"Skilling";"12";"";"";"";"";""
"977968";"1";"Hull";"St. Petersborg";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977975";"1";"London";"Memel";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977981";"1";"Memel";"Hull";"-";"337";"Bielker";"Daler";"10 1/2";"Skilling";"2";"";"";"";"";""
"977981";"2";"Memel";"Hull";"Favne";"6";"Lægter";"Skilling";"18";"";"";"";"";"";"";""
"977981";"3";"Memel";"Hull";"-";"931";"Pr. Dehler";"Daler";"11 1/2";"Skilling";"7";"";"";"";"";""
"977983";"1";"Hull";"Riga";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977989";"1";"Leverpoole";"Narva";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977993";"1";"London";"Memel";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977995";"1";"Ebbeltoft";"Kiøbenhavn";"Favne";"15";"Brænde";"";"";"";"";"";"";"";"";""
"977999";"1";"Leverpoole";"Memel";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"978002";"1";"Memel";"London";"-";"518";"Bielker";"Daler";"16";"Skilling";"9";"";"";"";"";""
"978002";"2";"Memel";"London";"Favne";"4";"Lægter";"Skilling";"12";"";"";"";"";"";"";""
"978002";"3";"Memel";"London";"-";"547";"Pr. Dehler";"Daler";"6 1/2";"Skilling";"17";"";"";"";"";""
"978015";"1";"London";"St. Petersborg";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"978025";"1";"London";"Østersøen";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"978028";"1";"Memel";"London";"-";"293";"Bielker";"Daler";"9";"Skilling";"8";"";"";"";"";""
"978028";"2";"Memel";"London";"-";"1316";"Dehler";"Daler";"16";"Skilling";"22";"";"";"";"";""
"978028";"3";"Memel";"London";"Favne";"3";"Lægter";"Skilling";"9";"";"";"";"";"";"";""
"978032";"1";"London";"Riga";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"978044";"1";"London";"St. Petersborg";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"978045";"1";"Memel";"Hull";"-";"310";"Bielker";"Daler";"9 1/2";"Skilling";"9";"";"";"";"";""
"978045";"2";"Memel";"Hull";"-";"60";"Dehler";"Daler";"1/2";"Skilling";"12";"";"";"";"";""
